month,year,Factory,Cycle Time (minutes),Product Category,Waste Generated (kg),Production Volume (units),Water Usage (liters),Machine Utilization (%),Machine Age (years),Machine Type,Supplier,Operator Experience (years),Revenue ($)
3,2020,0,20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
3,2020,0,30,2,500,619.87,10000,57,7.05,2,2,5.15,495859.61
3,2020,0,20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
3,2020,0,30,2,500,615.32,10000,57,7.05,2,2,4.7,492221.19
3,2020,0,10,0,100,646.51,2000,59,6.34,0,2,5.65,323203.09
3,2020,0,20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
3,2020,0,20,1,300,688.19,6000,53,8.89,1,0,3.82,412862.64
3,2020,0,10,0,100,677.91,2000,59,6.34,0,2,4.7,338899.82
3,2020,0,30,2,500,592.57,10000,57,7.05,2,2,5.95,474021.91
3,2020,0,30,2,500,563.92,10000,57,7.05,2,2,5.78,451106.26
3,2020,0,30,2,500,602.82,10000,57,7.05,2,2,5.03,482222.35
3,2020,0,20,1,300,622.59,6000,53,8.89,1,0,4.6,373511.57
3,2020,0,20,1,300,614.99,6000,53,8.89,1,0,6.15,368949.52
3,2020,0,10,0,100,630.21,2000,59,6.34,0,2,5.12,315056.92
3,2020,0,20,1,300,595.89,6000,53,8.89,1,0,6.02,357492.74
3,2020,0,10,0,100,661.21,2000,59,6.34,0,2,3.65,330555.08
3,2020,0,10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
3,2020,0,30,2,500,609.47,10000,57,7.05,2,2,5.58,487540.25
3,2020,0,10,0,100,663.76,2000,59,6.34,0,2,4.92,331826.78
3,2020,0,30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
3,2020,0,20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
3,2020,0,10,0,100,669.11,2000,59,6.34,0,2,5.15,334500.34
3,2020,0,30,2,500,608.82,10000,57,7.05,2,2,5.22,487021.07
3,2020,0,30,2,500,615.72,10000,57,7.05,2,2,4.7,492541.16
3,2020,0,20,1,300,617.64,6000,53,8.89,1,0,5.65,370540.15
3,2020,0,20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
3,2020,0,20,1,300,688.29,6000,53,8.89,1,0,3.82,412922.63
3,2020,0,10,0,100,678.31,2000,59,6.34,0,2,4.7,339099.79
3,2020,0,10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
3,2020,0,20,1,300,584.49,6000,53,8.89,1,0,5.78,350654.95
3,2020,0,30,2,500,602.82,10000,57,7.05,2,2,5.03,482222.35
3,2020,0,30,2,500,602.32,10000,57,7.05,2,2,4.6,481823.29
3,2020,0,20,1,300,614.99,6000,53,8.89,1,0,6.15,368949.52
3,2020,0,20,1,300,600.94,6000,53,8.89,1,0,5.12,360523.78
3,2020,0,10,0,100,624.76,2000,59,6.34,0,2,6.02,312330.88
3,2020,0,30,2,500,611.67,10000,57,7.05,2,2,3.65,489303.93
3,2020,0,20,1,300,669.34,6000,53,8.89,1,0,3.9,401555.64
3,2020,0,10,0,100,659.01,2000,59,6.34,0,2,5.58,329451.13
3,2020,0,10,0,100,663.76,2000,59,6.34,0,2,4.92,331826.78
3,2020,0,20,1,300,604.04,6000,53,8.89,1,0,5.08,362383.44
3,2020,0,30,2,500,640.22,10000,57,7.05,2,2,4.3,512138.38
3,2020,0,30,2,500,619.87,10000,57,7.05,2,2,5.15,495859.61
3,2020,0,20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
3,2020,0,10,0,100,664.96,2000,59,6.34,0,2,4.7,332427.08
3,2020,0,10,0,100,646.41,2000,59,6.34,0,2,5.65,323153.1
3,2020,0,20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
3,2020,0,10,0,100,717.16,2000,59,6.34,0,2,3.82,358519.95
3,2020,0,30,2,500,628.77,10000,57,7.05,2,2,4.7,502979.23
3,2020,0,10,0,100,642.31,2000,59,6.34,0,2,5.95,321103.13
3,2020,0,10,0,100,613.26,2000,59,6.34,0,2,5.78,306583.26
3,2020,0,10,0,100,652.26,2000,59,6.34,0,2,5.03,326078.5
3,2020,0,20,1,300,622.89,6000,53,8.89,1,0,4.6,373691.54
3,2020,0,30,2,500,594.42,10000,57,7.05,2,2,6.15,475501.27
3,2020,0,20,1,300,601.24,6000,53,8.89,1,0,5.12,360703.76
3,2020,0,30,2,500,575.32,10000,57,7.05,2,2,6.02,460224.22
3,2020,0,10,0,100,661.11,2000,59,6.34,0,2,3.65,330505.09
3,2020,0,10,0,100,698.21,2000,59,6.34,0,2,3.9,349048.16
3,2020,0,20,1,300,630.14,6000,53,8.89,1,0,5.58,378038.33
3,2020,0,10,0,100,663.76,2000,59,6.34,0,2,4.92,331826.78
3,2020,0,30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
3,2020,0,10,0,100,689.56,2000,59,6.34,0,2,4.3,344723.75
3,2020,0,30,2,500,619.87,10000,57,7.05,2,2,5.15,495859.61
3,2020,0,10,0,100,658.26,2000,59,6.34,0,2,5.22,329077.04
3,2020,0,10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
3,2020,0,30,2,500,597.07,10000,57,7.05,2,2,5.65,477621.9
3,2020,0,20,1,300,681.34,6000,53,8.89,1,0,3.95,408753.51
3,2020,0,20,1,300,688.29,6000,53,8.89,1,0,3.82,412922.63
3,2020,0,30,2,500,628.87,10000,57,7.05,2,2,4.7,503059.22
3,2020,0,10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
3,2020,0,10,0,100,612.86,2000,59,6.34,0,2,5.78,306383.31
3,2020,0,20,1,300,623.29,6000,53,8.89,1,0,5.03,373930.58
3,2020,0,10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
3,2020,0,30,2,500,594.42,10000,57,7.05,2,2,6.15,475501.27
3,2020,0,20,1,300,601.24,6000,53,8.89,1,0,5.12,360703.76
3,2020,0,10,0,100,624.86,2000,59,6.34,0,2,6.02,312380.87
4,2020,0,20,1,300,632.34,6000,53,8.89,1,0,3.65,379362.11
4,2020,0,10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
4,2020,0,20,1,300,630.04,6000,53,8.89,1,0,5.58,377978.34
4,2020,0,30,2,500,614.32,10000,57,7.05,2,2,4.92,491420.89
4,2020,0,10,0,100,632.91,2000,59,6.34,0,2,5.08,316406.58
4,2020,0,10,0,100,689.56,2000,59,6.34,0,2,4.3,344723.75
4,2020,0,10,0,100,669.31,2000,59,6.34,0,2,5.15,334600.32
4,2020,0,10,0,100,658.06,2000,59,6.34,0,2,5.22,328977.07
4,2020,0,10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
4,2020,0,20,1,300,617.24,6000,53,8.89,1,0,5.65,370300.19
4,2020,0,20,1,300,681.34,6000,53,8.89,1,0,3.95,408753.52
4,2020,0,30,2,500,667.32,10000,57,7.05,2,2,3.82,533815.26
4,2020,0,20,1,300,649.44,6000,53,8.89,1,0,4.7,389617.11
4,2020,0,10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
4,2020,0,20,1,300,584.49,6000,53,8.89,1,0,5.78,350654.95
4,2020,0,10,0,100,652.26,2000,59,6.34,0,2,5.03,326078.5
4,2020,0,10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
4,2020,0,10,0,100,643.86,2000,59,6.34,0,2,6.15,321877.44
4,2020,0,30,2,500,580.77,10000,57,7.05,2,2,5.12,464585.24
4,2020,0,10,0,100,624.86,2000,59,6.34,0,2,6.02,312380.87
4,2020,0,10,0,100,661.21,2000,59,6.34,0,2,3.65,330555.08
4,2020,0,10,0,100,698.21,2000,59,6.34,0,2,3.9,349048.17
4,2020,0,10,0,100,659.01,2000,59,6.34,0,2,5.58,329451.13
4,2020,0,30,2,500,614.32,10000,57,7.05,2,2,4.92,491420.89
4,2020,0,30,2,500,583.47,10000,57,7.05,2,2,5.08,466744.96
4,2020,0,30,2,500,640.02,10000,57,7.05,2,2,4.3,511978.4
4,2020,0,20,1,300,640.44,6000,53,8.89,1,0,5.15,384217.59
4,2020,0,10,0,100,658.26,2000,59,6.34,0,2,5.22,329077.04
4,2020,0,10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
4,2020,0,30,2,500,597.07,10000,57,7.05,2,2,5.65,477621.9
4,2020,0,30,2,500,660.87,10000,57,7.05,2,2,3.95,528655.99
4,2020,0,10,0,100,717.16,2000,59,6.34,0,2,3.82,358519.95
4,2020,0,20,1,300,649.34,6000,53,8.89,1,0,4.7,389557.12
4,2020,0,10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
4,2020,0,20,1,300,584.39,6000,53,8.89,1,0,5.78,350594.96
4,2020,0,20,1,300,623.39,6000,53,8.89,1,0,5.03,373990.57
4,2020,0,30,2,500,602.42,10000,57,7.05,2,2,4.6,481903.28
4,2020,0,20,1,300,614.99,6000,53,8.89,1,0,6.15,368949.52
4,2020,0,20,1,300,601.34,6000,53,8.89,1,0,5.12,360763.75
4,2020,0,20,1,300,595.99,6000,53,8.89,1,0,6.02,357552.73
4,2020,0,30,2,500,611.37,10000,57,7.05,2,2,3.65,489063.94
4,2020,0,10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
4,2020,0,20,1,300,630.14,6000,53,8.89,1,0,5.58,378038.33
4,2020,0,20,1,300,634.89,6000,53,8.89,1,0,4.92,380888.97
4,2020,0,20,1,300,604.14,6000,53,8.89,1,0,5.08,362443.43
4,2020,0,10,0,100,689.66,2000,59,6.34,0,2,4.3,344773.73
4,2020,0,20,1,300,640.44,6000,53,8.89,1,0,5.15,384217.59
4,2020,0,20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
4,2020,0,20,1,300,636.09,6000,53,8.89,1,0,4.7,381609.25
4,2020,0,30,2,500,597.07,10000,57,7.05,2,2,5.65,477621.9
4,2020,0,20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
4,2020,0,10,0,100,717.16,2000,59,6.34,0,2,3.82,358519.95
4,2020,0,20,1,300,649.04,6000,53,8.89,1,0,4.7,389377.15
4,2020,0,10,0,100,642.31,2000,59,6.34,0,2,5.95,321103.14
4,2020,0,20,1,300,584.29,6000,53,8.89,1,0,5.78,350534.97
4,2020,0,20,1,300,623.39,6000,53,8.89,1,0,5.03,373990.57
4,2020,0,30,2,500,602.42,10000,57,7.05,2,2,4.6,481903.28
4,2020,0,10,0,100,643.76,2000,59,6.34,0,2,6.15,321827.45
4,2020,0,30,2,500,580.77,10000,57,7.05,2,2,5.12,464585.24
4,2020,0,20,1,300,595.99,6000,53,8.89,1,0,6.02,357552.73
4,2020,0,20,1,300,632.34,6000,53,8.89,1,0,3.65,379362.11
4,2020,0,10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
4,2020,0,10,0,100,658.91,2000,59,6.34,0,2,5.58,329401.14
4,2020,0,30,2,500,614.32,10000,57,7.05,2,2,4.92,491420.89
4,2020,0,30,2,500,583.47,10000,57,7.05,2,2,5.08,466744.96
4,2020,0,10,0,100,689.66,2000,59,6.34,0,2,4.3,344773.73
4,2020,0,30,2,500,619.87,10000,57,7.05,2,2,5.15,495859.61
4,2020,0,10,0,100,658.26,2000,59,6.34,0,2,5.22,329077.04
4,2020,0,10,0,100,665.06,2000,59,6.34,0,2,4.7,332477.06
4,2020,0,10,0,100,646.51,2000,59,6.34,0,2,5.65,323203.09
4,2020,0,20,1,300,681.34,6000,53,8.89,1,0,3.95,408753.51
4,2020,0,30,2,500,667.72,10000,57,7.05,2,2,3.82,534135.2
4,2020,0,30,2,500,628.87,10000,57,7.05,2,2,4.7,503059.22
4,2020,0,30,2,500,592.57,10000,57,7.05,2,2,5.95,474021.91
4,2020,0,30,2,500,563.92,10000,57,7.05,2,2,5.78,451106.26
4,2020,0,20,1,300,623.39,6000,53,8.89,1,0,5.03,373990.57
4,2020,0,10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
4,2020,0,10,0,100,643.86,2000,59,6.34,0,2,6.15,321877.44
4,2020,0,20,1,300,601.24,6000,53,8.89,1,0,5.12,360703.76
4,2020,0,30,2,500,575.42,10000,57,7.05,2,2,6.02,460304.21
4,2020,0,30,2,500,611.67,10000,57,7.05,2,2,3.65,489303.93
